n,e_tilda,w^2
0.0,0.0,0.0
1.0,1.604395604395605,0.0
5.0,5.824175824175825,0.0
6.0,7.428571428571431,0.0
41.0,19.626373626373635,0.0
42.0,23.428571428571445,0.0
43.0,25.032967032967036,0.0
88.0,77.45054945054949,0.0
89.0,81.25274725274727,0.0
90.0,78.46153846153845,0.0
95.0,79.8901098901099,0.0
163.0,171.4065934065934,1.0
262.0,281.8901098901099,1.0
271.0,252.3736263736264,1.0
271.0,267.75824175824187,1.0
328.0,260.3076923076924,9.0
327.0,265.2967032967033,9.0
340.0,266.3736263736264,4.0
340.0,255.38461538461547,4.0
341.0,256.98901098901115,4.0
337.0,257.16483516483527,4.0
338.0,265.3626373626373,4.0
342.0,482.7692307692307,1.0
343.0,482.1758241758241,1.0
325.0,492.8571428571429,0.0
324.0,491.2527472527472,0.0
325.0,497.2527472527472,0.0
311.0,509.9560439560439,0.0
313.0,510.967032967033,0.0
313.0,510.967032967033,0.0
313.0,510.967032967033,0.0
313.0,510.967032967033,0.0
312.0,485.1868131868132,0.0
301.0,504.901098901099,0.0
300.0,498.901098901099,0.0
310.0,534.7252747252749,0.0
314.0,521.3626373626373,0.0
316.0,524.5714285714287,0.0
315.0,520.7692307692307,0.0
318.0,518.9890109890111,0.0
317.0,517.3846153846155,0.0
318.0,521.1868131868132,0.0
317.0,523.9780219780221,0.0
318.0,527.7802197802198,0.0
317.0,528.3736263736264,0.0
318.0,527.7802197802198,0.0
318.0,527.7802197802198,0.0
312.0,531.3406593406594,0.0
311.0,492.3736263736264,0.0
311.0,487.97802197802207,0.0
