n,e_tilda,w^2
0.0,0.0,0.0
1.0,1.8974358974358978,0.0
165.0,120.25641025641039,1.0
165.0,126.41025641025647,1.0
166.0,128.30769230769238,1.0
170.0,131.79487179487182,1.0
171.0,133.69230769230774,1.0
171.0,135.74358974358984,1.0
202.0,110.46153846153857,1.0
216.0,128.82051282051293,1.0
291.0,219.84615384615404,1.0
292.0,217.64102564102586,1.0
389.0,254.0,0.0
654.0,629.6410256410259,1.0
655.0,631.5384615384619,1.0
652.0,627.897435897436,1.0
689.0,655.0256410256416,1.0
694.0,691.1794871794873,1.0
694.0,693.2307692307695,1.0
682.0,631.4871794871797,0.0
725.0,739.7435897435903,1.0
726.0,737.5384615384619,1.0
738.0,739.794871794872,1.0
679.0,835.0256410256411,4.0
715.0,819.2307692307695,1.0
735.0,877.6923076923081,1.0
713.0,876.9743589743593,0.0
712.0,873.0256410256416,0.0
711.0,864.9743589743593,0.0
712.0,868.9230769230771,0.0
711.0,867.0256410256416,0.0
710.0,869.2307692307695,0.0
710.0,867.1794871794873,0.0
690.0,814.8717948717954,0.0
682.0,900.2051282051284,1.0
681.0,896.2564102564106,1.0
683.0,889.794871794872,1.0
714.0,856.3076923076928,0.0
699.0,899.6410256410259,0.0
701.0,903.4358974358979,0.0
701.0,903.4358974358979,0.0
701.0,905.4871794871797,0.0
702.0,911.4871794871797,0.0
663.0,948.2564102564106,0.0
662.0,938.1538461538466,0.0
663.0,940.0512820512822,0.0
658.0,887.4871794871797,0.0
659.0,895.5384615384619,0.0
689.0,831.4358974358979,4.0
663.0,874.4102564102568,4.0
663.0,874.4102564102568,4.0
680.0,857.4358974358979,4.0
682.0,846.8717948717954,9.0
683.0,844.666666666667,9.0
684.0,846.564102564103,9.0
667.0,918.9230769230771,0.0
669.0,906.3076923076924,0.0
668.0,914.666666666667,0.0
668.0,898.2564102564106,0.0
669.0,902.2051282051284,0.0
665.0,861.794871794872,0.0
676.0,897.0256410256411,1.0
677.0,898.9230769230771,1.0
