n,e_tilda,w^2
0.0,0.0,0.0
442.0,287.3488372093029,0.0
508.0,290.7906976744189,1.0
635.0,494.65116279069844,4.0
634.0,492.3720930232562,4.0
645.0,515.5813953488378,4.0
675.0,619.302325581396,4.0
704.0,640.7441860465124,1.0
717.0,581.0697674418611,0.0
718.0,579.6279069767447,0.0
661.0,665.5348837209308,1.0
685.0,684.8837209302333,4.0
684.0,680.7441860465124,4.0
693.0,697.5348837209308,4.0
688.0,695.4418604651169,4.0
708.0,755.9069767441865,0.0
656.0,745.302325581396,0.0
656.0,747.1627906976751,0.0
655.0,744.8837209302333,0.0
678.0,754.5116279069771,0.0
679.0,754.9302325581402,0.0
676.0,632.7441860465124,4.0
675.0,632.3255813953492,4.0
676.0,636.4651162790701,4.0
677.0,638.7441860465124,4.0
706.0,606.2325581395353,0.0
703.0,640.3255813953492,4.0
704.0,638.8837209302333,4.0
705.0,639.302325581396,4.0
696.0,682.0465116279074,4.0
695.0,676.0465116279074,4.0
695.0,674.1860465116283,4.0
698.0,675.4418604651169,0.0
698.0,677.302325581396,0.0
699.0,677.7209302325587,0.0
718.0,670.7906976744193,1.0
721.0,664.6046511627915,1.0
717.0,662.9302325581402,1.0
713.0,661.255813953489,1.0
720.0,749.7674418604656,9.0
720.0,755.3488372093029,9.0
720.0,755.3488372093029,9.0
713.0,806.3720930232562,9.0
740.0,840.0000000000005,1.0
734.0,820.7441860465124,1.0
740.0,830.6976744186054,1.0
739.0,830.2790697674423,1.0
717.0,540.1395348837214,4.0
708.0,515.9069767441865,1.0
705.0,514.6511627906984,1.0
705.0,585.3488372093029,9.0
705.0,587.209302325582,9.0
705.0,581.6279069767447,9.0
761.0,623.6744186046517,1.0
718.0,691.255813953489,9.0
717.0,692.6976744186054,9.0
685.0,608.6046511627915,1.0
689.0,565.6279069767447,4.0
689.0,565.6279069767447,4.0
671.0,591.5813953488378,1.0
726.0,689.0232558139542,1.0
727.0,687.5813953488378,1.0
731.0,754.3720930232566,0.0
746.0,740.1860465116283,4.0
740.0,700.4651162790706,0.0
718.0,663.3488372093029,1.0
672.0,614.3255813953492,0.0
703.0,677.5348837209308,4.0
716.0,696.0000000000005,1.0
723.0,732.4186046511636,1.0
776.0,706.2325581395357,1.0
787.0,749.9069767441865,4.0
786.0,756.9302325581402,1.0
787.0,757.3488372093029,1.0
743.0,709.1627906976751,0.0
704.0,631.4418604651169,1.0
691.0,590.6511627906984,1.0
693.0,593.3488372093029,1.0
729.0,617.7209302325587,1.0
728.0,617.302325581396,1.0
698.0,608.4651162790706,1.0
702.0,701.302325581396,1.0
702.0,701.302325581396,1.0
700.0,702.3255813953492,1.0
701.0,704.6046511627915,1.0
711.0,732.9767441860472,1.0
711.0,732.9767441860472,1.0
701.0,598.5581395348845,1.0
708.0,670.3255813953492,1.0
736.0,683.9069767441865,1.0
738.0,690.3255813953497,1.0
715.0,647.209302325582,0.0
709.0,663.302325581396,0.0
689.0,632.6046511627915,0.0
702.0,632.4651162790706,1.0
708.0,657.302325581396,1.0
708.0,653.5813953488378,1.0
708.0,651.7209302325587,1.0
714.0,656.0930232558144,1.0
714.0,628.1860465116283,1.0
726.0,605.302325581396,1.0
722.0,696.6511627906984,1.0
711.0,679.0232558139542,1.0
720.0,690.2325581395353,4.0
719.0,736.3255813953492,4.0
702.0,747.8139534883726,4.0
700.0,789.7674418604656,1.0
705.0,767.6744186046517,1.0
707.0,669.9069767441865,4.0
705.0,665.3488372093029,4.0
705.0,667.209302325582,4.0
707.0,671.7674418604656,4.0
708.0,679.6279069767447,4.0
709.0,685.6279069767447,4.0
710.0,686.0465116279074,4.0
730.0,703.7209302325587,1.0
727.0,700.6046511627915,1.0
727.0,702.4651162790706,1.0
691.0,661.3488372093029,1.0
692.0,659.9069767441865,1.0
716.0,725.7674418604656,9.0
717.0,728.0465116279074,9.0
736.0,749.0232558139542,16.0
733.0,677.0697674418611,4.0
733.0,731.0232558139542,1.0
735.0,730.0000000000005,1.0
736.0,765.7674418604656,1.0
758.0,774.9767441860472,0.0
651.0,722.7441860465124,1.0
652.0,726.8837209302333,1.0
709.0,758.1860465116283,1.0
688.0,727.0697674418611,1.0
686.0,748.5581395348845,1.0
688.0,753.1162790697681,1.0
733.0,779.3953488372099,4.0
764.0,792.3720930232566,1.0
755.0,784.8837209302333,1.0
722.0,787.8139534883726,1.0
704.0,720.7441860465124,1.0
703.0,718.4651162790706,1.0
732.0,661.7674418604656,1.0
734.0,677.4883720930238,1.0
735.0,676.0465116279074,1.0
734.0,675.6279069767447,1.0
719.0,702.8372093023263,4.0
720.0,705.1162790697681,4.0
719.0,704.6976744186054,4.0
720.0,706.9767441860472,4.0
728.0,702.8837209302333,0.0
707.0,655.0232558139542,1.0
706.0,649.0232558139542,1.0
705.0,643.0232558139542,1.0
704.0,679.8139534883726,4.0
705.0,676.5116279069775,4.0
673.0,672.4186046511632,1.0
675.0,676.9767441860472,1.0
675.0,690.0000000000005,0.0
674.0,693.302325581396,0.0
710.0,762.3255813953492,1.0
710.0,762.3255813953492,1.0
712.0,761.302325581396,1.0
709.0,760.0465116279074,1.0
711.0,755.302325581396,1.0
710.0,747.4418604651169,0.0
710.0,745.5813953488378,0.0
710.0,723.255813953489,0.0
710.0,723.255813953489,0.0
723.0,724.9767441860472,4.0
723.0,721.255813953489,4.0
709.0,791.6744186046517,1.0
708.0,793.1162790697681,1.0
712.0,789.209302325582,1.0
739.0,727.9534883720935,1.0
738.0,681.0232558139542,0.0
738.0,669.8604651162796,1.0
731.0,642.7441860465124,0.0
734.0,645.8604651162796,0.0
727.0,611.302325581396,4.0
728.0,615.4418604651169,4.0
720.0,587.9069767441865,4.0
734.0,573.302325581396,0.0
738.0,576.8372093023263,1.0
737.0,574.5581395348845,1.0
737.0,574.5581395348845,1.0
713.0,558.9302325581402,1.0
703.0,549.1627906976751,1.0
700.0,557.209302325582,1.0
700.0,553.4883720930238,1.0
699.0,554.9302325581402,1.0
700.0,546.0465116279074,1.0
699.0,545.6279069767447,1.0
722.0,614.7906976744193,1.0
718.0,726.6046511627915,1.0
719.0,730.7441860465124,1.0
715.0,738.3720930232562,1.0
697.0,747.5813953488378,1.0
691.0,719.0232558139542,1.0
713.0,670.5581395348845,1.0
712.0,670.1395348837214,1.0
740.0,752.5581395348845,1.0
740.0,752.5581395348845,1.0
740.0,784.1860465116283,1.0
704.0,778.4186046511632,0.0
750.0,732.5581395348845,1.0
751.0,734.8372093023263,1.0
754.0,743.5348837209308,1.0
730.0,673.9534883720935,0.0
739.0,592.1395348837214,4.0
720.0,584.1860465116283,4.0
741.0,658.0930232558144,1.0
740.0,659.5348837209308,1.0
761.0,621.8139534883726,0.0
700.0,627.9069767441865,9.0
672.0,608.7441860465124,1.0
666.0,617.3953488372099,0.0
702.0,758.9767441860472,1.0
693.0,727.302325581396,0.0
675.0,712.3255813953492,1.0
674.0,710.0465116279074,1.0
673.0,715.209302325582,1.0
664.0,726.3255813953492,0.0
667.0,720.1395348837214,0.0
668.0,724.2790697674423,0.0
