n,e_tilda,w^2
0.0,0.0,0.0
1.0,1.0,0.0
6.0,1.0,0.0
8.0,0.5,0.0
9.0,1.5,0.0
20.0,-7.5,0.0
22.0,-8.0,0.0
28.0,13.0,0.0
31.0,18.5,0.0
32.0,14.5,0.0
39.0,14.0,0.0
40.0,22.5,0.0
45.0,35.0,0.0
53.0,43.0,0.0
56.0,46.0,0.0
65.0,55.0,0.0
66.0,56.0,0.0
67.0,59.5,0.0
100.0,82.5,0.0
102.0,99.5,0.0
104.0,106.5,0.0
129.0,136.5,0.0
130.0,137.5,0.0
142.0,157.0,0.0
143.0,160.5,0.0
144.0,164.0,0.0
153.0,175.5,0.0
152.0,174.5,0.0
154.0,181.5,0.0
153.0,180.5,0.0
154.0,174.0,0.0
153.0,170.5,0.0
171.0,218.5,0.0
174.0,224.0,0.0
249.0,331.5,0.0
251.0,331.0,0.0
261.0,348.5,0.0
262.0,354.5,0.0
264.0,356.5,0.0
264.0,356.5,0.0
275.0,352.5,0.0
281.0,363.5,0.0
292.0,397.0,0.0
298.0,410.5,0.0
299.0,414.0,0.0
301.0,408.5,0.0
301.0,411.0,0.0
310.0,442.5,0.0
312.0,442.0,0.0
325.0,430.0,0.0
326.0,431.0,0.0
326.0,433.5,0.0
328.0,440.5,0.0
334.0,469.0,0.0
337.0,477.0,0.0
340.0,480.0,0.0
339.0,474.0,0.0
340.0,472.5,0.0
341.0,471.0,0.0
345.0,477.5,0.0
370.0,472.5,0.0
372.0,482.0,0.0
374.0,481.5,0.0
373.0,478.0,0.0
374.0,481.5,0.0
400.0,485.0,0.0
406.0,486.0,0.0
399.0,469.0,0.0
399.0,474.0,0.0
398.0,473.0,0.0
400.0,462.5,0.0
397.0,474.5,0.0
397.0,472.0,0.0
424.0,521.5,0.0
426.0,526.0,0.0
426.0,528.5,0.0
430.0,535.0,0.0
433.0,530.5,0.0
439.0,544.0,0.0
441.0,546.0,0.0
442.0,542.0,0.0
442.0,542.0,0.0
442.0,539.5,0.0
446.0,541.0,0.0
446.0,541.0,0.0
447.0,544.5,0.0
450.0,547.5,0.0
449.0,546.5,0.0
448.0,543.0,0.0
449.0,546.5,0.0
448.0,548.0,0.0
449.0,544.0,0.0
457.0,557.0,0.0
446.0,588.5,0.0
468.0,603.0,0.0
467.0,607.0,0.0
482.0,649.5,0.0
482.0,659.5,0.0
484.0,669.0,0.0
489.0,776.5,0.0
489.0,776.5,0.0
488.0,773.0,0.0
486.0,781.0,0.0
493.0,800.5,0.0
490.0,795.0,0.0
489.0,799.0,0.0
488.0,790.5,0.0
