n,e_tilda,w^2
0.0,0.0,0.0
0.0,0.0,0.0
4.0,5.81818181818182,0.0
32.0,12.000000000000028,0.0
672.0,564.727272727273,0.0
670.0,570.909090909091,1.0
670.0,570.909090909091,1.0
670.0,570.909090909091,1.0
664.0,565.818181818182,1.0
664.0,562.1818181818185,1.0
701.0,558.727272727273,1.0
688.0,618.909090909091,1.0
705.0,602.727272727273,0.0
770.0,580.0000000000005,9.0
772.0,581.0909090909095,9.0
753.0,547.0909090909095,0.0
752.0,546.545454545455,0.0
752.0,546.545454545455,0.0
742.0,621.0909090909095,0.0
741.0,616.909090909091,0.0
719.0,581.2727272727275,1.0
718.0,675.2727272727275,0.0
721.0,682.3636363636365,0.0
740.0,700.0000000000005,1.0
732.0,642.909090909091,4.0
731.0,638.727272727273,4.0
712.0,564.727272727273,1.0
710.0,563.636363636364,1.0
725.0,577.2727272727275,1.0
727.0,580.1818181818185,1.0
726.0,574.1818181818185,1.0
716.0,545.0909090909095,0.0
703.0,516.1818181818185,1.0
703.0,518.0000000000005,1.0
717.0,583.818181818182,0.0
709.0,583.0909090909095,0.0
698.0,564.3636363636365,0.0
723.0,607.0909090909095,0.0
717.0,643.818181818182,4.0
729.0,637.636363636364,4.0
729.0,635.818181818182,4.0
709.0,648.545454545455,4.0
728.0,682.545454545455,1.0
729.0,686.727272727273,1.0
770.0,600.0000000000005,1.0
771.0,602.3636363636365,1.0
772.0,602.9090909090914,1.0
762.0,655.636363636364,0.0
762.0,670.1818181818185,1.0
766.0,672.3636363636365,1.0
765.0,670.0000000000005,1.0
763.0,688.9090909090914,1.0
737.0,678.3636363636365,0.0
736.0,674.1818181818185,0.0
751.0,709.636363636364,1.0
754.0,725.818181818182,1.0
749.0,744.909090909091,0.0
752.0,750.1818181818185,1.0
744.0,796.727272727273,1.0
735.0,793.636363636364,1.0
697.0,618.3636363636365,1.0
696.0,617.818181818182,1.0
697.0,614.727272727273,1.0
699.0,612.1818181818185,1.0
700.0,614.545454545455,1.0
701.0,613.2727272727275,1.0
703.0,616.1818181818185,1.0
704.0,620.3636363636365,1.0
703.0,621.636363636364,1.0
707.0,703.818181818182,1.0
707.0,729.2727272727275,1.0
706.0,725.0909090909095,1.0
709.0,703.0909090909095,1.0
710.0,705.454545454546,1.0
725.0,679.0909090909095,4.0
729.0,637.636363636364,0.0
744.0,594.9090909090914,1.0
743.0,590.727272727273,1.0
744.0,593.0909090909095,1.0
733.0,616.1818181818185,9.0
710.0,616.3636363636365,4.0
703.0,592.545454545455,4.0
753.0,592.545454545455,0.0
754.0,596.727272727273,0.0
749.0,619.454545454546,0.0
660.0,569.0909090909095,4.0
657.0,565.636363636364,4.0
660.0,581.818181818182,4.0
661.0,586.0000000000005,4.0
677.0,572.909090909091,0.0
699.0,554.0000000000005,0.0
697.0,605.636363636364,0.0
700.0,641.818181818182,1.0
671.0,516.909090909091,1.0
672.0,515.636363636364,1.0
679.0,515.818181818182,4.0
677.0,523.818181818182,4.0
676.0,519.636363636364,4.0
679.0,519.454545454546,4.0
687.0,523.818181818182,4.0
688.0,537.0909090909095,4.0
696.0,610.545454545455,4.0
696.0,608.727272727273,4.0
723.0,594.3636363636365,4.0
727.0,551.0909090909095,4.0
729.0,546.727272727273,4.0
710.0,609.0909090909095,4.0
712.0,564.727272727273,1.0
705.0,646.3636363636365,0.0
706.0,690.545454545455,1.0
705.0,686.3636363636365,1.0
705.0,688.1818181818185,1.0
699.0,668.545454545455,1.0
697.0,665.636363636364,1.0
724.0,682.1818181818185,1.0
726.0,683.2727272727275,1.0
720.0,505.45454545454595,1.0
719.0,504.909090909091,1.0
719.0,495.818181818182,4.0
719.0,537.636363636364,1.0
708.0,508.00000000000045,0.0
707.0,509.2727272727275,0.0
708.0,509.818181818182,0.0
705.0,513.636363636364,0.0
693.0,516.1818181818185,1.0
707.0,469.2727272727275,4.0
707.0,469.2727272727275,4.0
708.0,473.45454545454595,4.0
697.0,467.45454545454595,1.0
678.0,402.54545454545496,4.0
679.0,404.909090909091,4.0
680.0,409.09090909090946,4.0
719.0,554.0000000000005,9.0
733.0,578.0000000000005,1.0
761.0,591.454545454546,0.0
761.0,638.727272727273,0.0
750.0,652.727272727273,1.0
739.0,639.454545454546,1.0
733.0,632.545454545455,1.0
740.0,652.727272727273,0.0
752.0,633.818181818182,1.0
695.0,564.545454545455,0.0
697.0,567.454545454546,0.0
692.0,552.0000000000005,0.0
705.0,571.818181818182,4.0
706.0,572.3636363636365,4.0
702.0,610.1818181818185,1.0
709.0,603.0909090909095,0.0
709.0,695.818181818182,4.0
744.0,722.1818181818185,0.0
744.0,722.1818181818185,0.0
772.0,724.727272727273,0.0
766.0,621.454545454546,4.0
779.0,663.0909090909095,1.0
780.0,667.2727272727275,1.0
758.0,638.9090909090914,1.0
758.0,640.727272727273,1.0
753.0,636.1818181818185,1.0
754.0,638.545454545455,1.0
745.0,600.9090909090914,4.0
744.0,594.9090909090914,4.0
717.0,551.0909090909095,4.0
717.0,549.2727272727275,4.0
718.0,551.636363636364,4.0
698.0,506.18181818181847,0.0
699.0,512.1818181818185,0.0
698.0,508.00000000000045,0.0
697.0,502.00000000000045,0.0
691.0,509.63636363636397,0.0
693.0,508.909090909091,0.0
721.0,596.909090909091,1.0
715.0,606.3636363636365,1.0
691.0,702.3636363636365,4.0
694.0,700.3636363636365,0.0
712.0,728.3636363636365,0.0
712.0,728.3636363636365,0.0
712.0,728.3636363636365,0.0
685.0,644.545454545455,0.0
728.0,668.0000000000005,0.0
713.0,639.818181818182,9.0
712.0,639.2727272727275,9.0
736.0,608.727272727273,1.0
762.0,533.818181818182,1.0
764.0,584.0000000000005,0.0
766.0,577.818181818182,0.0
755.0,553.636363636364,1.0
753.0,552.545454545455,1.0
793.0,721.636363636364,4.0
767.0,731.0909090909095,4.0
746.0,670.545454545455,4.0
681.0,649.636363636364,0.0
681.0,649.636363636364,0.0
706.0,645.0909090909095,1.0
706.0,641.454545454546,1.0
741.0,729.636363636364,4.0
741.0,729.636363636364,4.0
737.0,629.2727272727275,0.0
711.0,613.2727272727275,1.0
703.0,623.454545454546,4.0
722.0,592.0000000000005,9.0
711.0,558.727272727273,0.0
712.0,555.636363636364,0.0
723.0,576.1818181818185,1.0
730.0,598.1818181818185,1.0
730.0,598.1818181818185,1.0
730.0,596.3636363636365,1.0
705.0,595.454545454546,0.0
704.0,605.818181818182,0.0
704.0,605.818181818182,0.0
704.0,605.818181818182,0.0
703.0,608.909090909091,0.0
703.0,598.0000000000005,0.0
715.0,591.818181818182,4.0
715.0,591.818181818182,4.0
728.0,715.2727272727275,4.0
715.0,702.727272727273,4.0
715.0,699.0909090909095,4.0
715.0,700.909090909091,4.0
723.0,639.818181818182,0.0
731.0,706.0000000000005,1.0
732.0,704.727272727273,1.0
724.0,684.0000000000005,0.0
709.0,690.3636363636365,1.0
756.0,639.636363636364,4.0
737.0,667.454545454546,0.0
738.0,668.0000000000005,0.0
738.0,668.0000000000005,0.0
745.0,717.2727272727275,1.0
746.0,719.636363636364,1.0
715.0,648.1818181818185,1.0
714.0,647.636363636364,1.0
713.0,647.0909090909095,1.0
720.0,600.0000000000005,4.0
728.0,578.909090909091,4.0
741.0,604.1818181818185,4.0
770.0,616.3636363636365,0.0
751.0,629.636363636364,0.0
748.0,635.2727272727275,0.0
749.0,559.454545454546,1.0
747.0,580.1818181818185,1.0
732.0,550.1818181818185,0.0
731.0,544.1818181818185,0.0
731.0,546.0000000000005,0.0
730.0,547.2727272727275,0.0
717.0,514.727272727273,0.0
717.0,520.1818181818185,0.0
726.0,621.454545454546,1.0
718.0,608.0000000000005,1.0
719.0,610.3636363636365,1.0
720.0,607.2727272727275,1.0
738.0,700.727272727273,0.0
738.0,682.545454545455,0.0
715.0,606.3636363636365,1.0
716.0,605.0909090909095,1.0
691.0,606.0000000000005,1.0
