n,e_tilda,w^2
0.0,0.0,0.0
277.0,114.0,1.0
301.0,162.0,1.0
501.0,476.0,0.0
502.0,472.0,0.0
593.0,540.0,0.0
594.0,536.0,0.0
615.0,668.0,4.0
714.0,764.0,1.0
716.0,762.0,1.0
715.0,762.0,1.0
708.0,770.0,1.0
681.0,780.0,0.0
680.0,782.0,0.0
681.0,786.0,0.0
681.0,788.0,0.0
685.0,790.0,0.0
740.0,798.0,1.0
740.0,796.0,1.0
742.0,800.0,1.0
724.0,800.0,1.0
725.0,794.0,1.0
728.0,706.0,1.0
726.0,700.0,1.0
728.0,696.0,1.0
728.0,696.0,1.0
729.0,696.0,1.0
728.0,694.0,1.0
729.0,698.0,1.0
695.0,712.0,1.0
670.0,746.0,0.0
671.0,740.0,0.0
671.0,740.0,0.0
647.0,780.0,0.0
647.0,784.0,0.0
648.0,788.0,0.0
648.0,794.0,0.0
648.0,794.0,0.0
647.0,800.0,0.0
676.0,684.0,1.0
677.0,684.0,1.0
653.0,794.0,1.0
652.0,792.0,1.0
654.0,818.0,1.0
652.0,808.0,1.0
669.0,830.0,1.0
669.0,826.0,1.0
661.0,760.0,0.0
687.0,710.0,1.0
684.0,696.0,1.0
740.0,700.0,0.0
740.0,702.0,0.0
732.0,704.0,1.0
702.0,756.0,0.0
704.0,752.0,0.0
713.0,834.0,0.0
714.0,830.0,0.0
713.0,824.0,0.0
714.0,820.0,0.0
714.0,798.0,1.0
713.0,802.0,1.0
713.0,804.0,1.0
712.0,798.0,1.0
711.0,796.0,1.0
675.0,810.0,1.0
674.0,808.0,1.0
673.0,810.0,1.0
709.0,814.0,1.0
707.0,818.0,1.0
709.0,760.0,4.0
710.0,758.0,4.0
747.0,774.0,0.0
748.0,776.0,0.0
746.0,712.0,1.0
747.0,870.0,1.0
748.0,872.0,1.0
685.0,814.0,1.0
685.0,812.0,1.0
671.0,766.0,0.0
670.0,766.0,0.0
696.0,726.0,1.0
702.0,706.0,1.0
656.0,690.0,1.0
678.0,634.0,4.0
679.0,640.0,4.0
693.0,612.0,1.0
694.0,616.0,1.0
696.0,668.0,0.0
698.0,662.0,0.0
714.0,700.0,0.0
715.0,702.0,0.0
716.0,702.0,0.0
717.0,704.0,0.0
714.0,696.0,0.0
702.0,706.0,1.0
707.0,702.0,1.0
707.0,702.0,1.0
691.0,698.0,1.0
693.0,690.0,1.0
693.0,690.0,1.0
691.0,758.0,1.0
690.0,762.0,1.0
691.0,764.0,1.0
690.0,762.0,1.0
688.0,764.0,1.0
688.0,768.0,1.0
686.0,766.0,1.0
678.0,612.0,1.0
694.0,580.0,1.0
694.0,580.0,1.0
693.0,584.0,1.0
703.0,544.0,1.0
700.0,558.0,1.0
712.0,670.0,4.0
712.0,670.0,4.0
713.0,670.0,4.0
713.0,670.0,4.0
713.0,670.0,4.0
717.0,688.0,4.0
712.0,720.0,9.0
715.0,778.0,4.0
715.0,778.0,4.0
710.0,792.0,4.0
710.0,790.0,4.0
710.0,788.0,4.0
710.0,788.0,4.0
713.0,796.0,4.0
694.0,784.0,4.0
693.0,768.0,0.0
692.0,768.0,0.0
693.0,766.0,0.0
693.0,772.0,0.0
731.0,786.0,4.0
710.0,812.0,1.0
688.0,828.0,4.0
680.0,858.0,0.0
680.0,858.0,0.0
679.0,856.0,0.0
685.0,854.0,0.0
687.0,920.0,4.0
687.0,920.0,4.0
686.0,918.0,4.0
685.0,920.0,4.0
689.0,922.0,4.0
698.0,896.0,1.0
698.0,898.0,1.0
696.0,900.0,1.0
697.0,882.0,1.0
707.0,862.0,0.0
719.0,860.0,1.0
718.0,854.0,1.0
720.0,852.0,1.0
692.0,784.0,0.0
704.0,790.0,0.0
657.0,676.0,1.0
656.0,674.0,1.0
656.0,682.0,1.0
664.0,666.0,0.0
665.0,670.0,0.0
663.0,804.0,1.0
664.0,810.0,1.0
669.0,742.0,0.0
689.0,696.0,1.0
681.0,664.0,1.0
693.0,644.0,1.0
690.0,640.0,1.0
689.0,640.0,1.0
691.0,642.0,1.0
699.0,648.0,1.0
700.0,650.0,1.0
702.0,648.0,1.0
709.0,690.0,1.0
718.0,750.0,4.0
716.0,764.0,1.0
729.0,800.0,1.0
730.0,800.0,1.0
708.0,804.0,4.0
685.0,750.0,1.0
685.0,750.0,1.0
686.0,752.0,1.0
667.0,736.0,0.0
660.0,736.0,0.0
661.0,736.0,0.0
660.0,740.0,0.0
660.0,732.0,0.0
659.0,728.0,0.0
669.0,786.0,0.0
669.0,792.0,0.0
669.0,792.0,0.0
668.0,788.0,0.0
667.0,804.0,1.0
668.0,798.0,1.0
694.0,818.0,1.0
713.0,832.0,4.0
714.0,852.0,4.0
713.0,906.0,1.0
715.0,912.0,1.0
718.0,916.0,1.0
747.0,804.0,0.0
740.0,790.0,0.0
739.0,786.0,0.0
739.0,786.0,0.0
694.0,804.0,0.0
